hand_number,winner,amount_won,description,player1_cards,player2_cards,board,player1_stack_before,player2_stack_before,player1_stack_after,player2_stack_after
1,Fish,20.0,Boat,3♣ 9♠,3♠ 10♣,4♥ 3♥ 10♠ 10♦ K♦,1000.0,1000.0,990.0,1010.0
2,Main Agent,120.0,One Pair,K♥ 7♠,J♦ 7♥,2♣ Q♥ Q♦ 6♠ 3♥,990.0,1010.0,1050.0,950.0
3,Main Agent,20.0,One Pair,Q♦ 8♣,9♥ 2♥,7♦ A♥ 10♣ J♠ 10♠,1050.0,950.0,1060.0,940.0
4,Fish,15.0,opponent folded,Q♠ 5♦,2♠ 9♣,,1060.0,940.0,1055.0,945.0
5,Fish,20.0,One Pair,4♦ 9♦,A♣ 9♠,3♥ 6♠ 10♥ K♦ 9♣,1055.0,945.0,1045.0,955.0
6,Main Agent,298.79999999999995,Trips,9♣ 10♥,8♠ 4♥,10♣ 10♦ 4♦ 3♦ 6♥,1045.0,955.0,1194.4,805.6
7,Fish,60.0,Two Pair,5♠ A♣,K♦ 6♦,9♦ Q♠ K♣ 7♠ 6♠,1194.4,805.6,1164.4,835.6
8,Fish,15.0,opponent folded,6♠ 4♥,Q♥ 7♥,,1164.4,835.6,1159.4,840.6
9,Main Agent,20.0,Two Pair,7♣ J♠,10♦ 4♠,K♦ J♦ K♣ 10♠ 8♥,1159.4,840.6,1169.4,830.6
10,Main Agent,99.6,One Pair,A♥ 10♥,6♥ 6♠,J♥ 4♣ 8♦ 10♦ 3♠,1169.4,830.6,1219.2,780.8000000000001
11,Main Agent,20.0,Boat,A♠ 2♦,5♣ K♥,K♠ 2♣ Q♦ A♥ 2♠,1219.2,780.8000000000001,1229.2,770.8000000000001
12,Fish,15.0,opponent folded,8♣ 7♣,K♥ 7♦,,1229.2,770.8000000000001,1224.2,775.8000000000001
13,Main Agent,60.0,Flush,10♥ 9♥,10♦ 7♠,J♠ 3♥ K♥ 2♥ 2♦,1224.2,775.8000000000001,1254.2,745.8000000000001
14,Fish,99.6,Trips,A♥ K♦,Q♦ 5♣,7♠ 4♣ 3♦ 5♦ 5♠,1254.2,745.8000000000001,1204.4,795.6000000000001
